topic	tweet_id	tweet_text	class_label
LESA	0	no	1
LESA	1	Yes	1
LESA	2	No	1
LESA	3	No	1
LESA	4	Yes	1
LESA	5	No	1
LESA	6	Yes	1
LESA	7	Yes	1
LESA	8	Yes	1
LESA	9	Yes	1
LESA	10	No	1
LESA	11	No	1
LESA	12	Yes	1
LESA	13	Yes	1
LESA	14	Yes	1
LESA	15	Yes	1
LESA	16	Yes	1
LESA	17	No	1
LESA	18	Yes	1
LESA	19	No	1
LESA	20	Yes	1
LESA	21	Yes	1
LESA	22	No	1
LESA	23	Yes	1
LESA	24	Yes	1
LESA	25	No	1
LESA	26	Yes	1
LESA	27	Yes	1
LESA	28	No	1
LESA	29	Yes	1
LESA	30	Yes	1
LESA	31	Yes	1
LESA	32	Yes	1
LESA	33	Yes	1
LESA	34	Yes	1
LESA	35	No	1
LESA	36	Yes	1
LESA	37	No	1
LESA	38	Yes	1
LESA	39	No.	1
LESA	40	No	1
LESA	41	no	1
LESA	42	Yes	1
LESA	43	No	1
LESA	44	Yes	1
LESA	45	Yes	1
LESA	46	Yes	1
LESA	47	Yes	1
LESA	48	No	1
LESA	49	Yes	1
LESA	50	Yes	1
LESA	51	No	1
LESA	52	No	1
LESA	53	no	1
LESA	54	Yes	1
LESA	55	Yes	1
LESA	56	Yes	1
LESA	57	Yes	1
LESA	58	Yes	1
LESA	59	Yes	1
LESA	60	No	1
LESA	61	Yes	1
LESA	62	Yes	1
LESA	63	Yes	1
LESA	64	yes	1
LESA	65	Yes	1
LESA	66	No	1
LESA	67	No	1
LESA	68	No	1
LESA	69	No	1
LESA	70	No	1
LESA	71	Yes	1
LESA	72	Yes	1
LESA	73	No	1
LESA	74	No	1
LESA	75	Yes	1
LESA	76	Yes	1
LESA	77	Yes	1
LESA	78	No	1
LESA	79	No	1
LESA	80	Yes	1
LESA	81	Yes	1
LESA	82	No	1
LESA	83	Yes	1
LESA	84	No	1
LESA	85	Yes	1
LESA	86	Yes	1
LESA	87	No	1
LESA	88	Yes	1
LESA	89	No	1
LESA	90	No	1
LESA	91	Yes	1
LESA	92	No	1
LESA	93	No	1
LESA	94	No	1
LESA	95	Yes	1
LESA	96	Yes	1
LESA	97	No	1
LESA	98	No	1
LESA	99	Yes	1
LESA	100	No	1
LESA	101	Yes	1
LESA	102	No	1
LESA	103	Yes	1
LESA	104	Yes	1
LESA	105	Yes	1
LESA	106	No	1
