topic	tweet_id	tweet_text	class_label
LESA	0	"""If you have ever been to White Caps, you are immune to the coronavirus."""	1
LESA	1	No, bleach will not cure COVID-19. Disinfectants cannot kill the coronavirus in your body. In fact, they can harm you. If you or someone you know has been exposed to bleach, call Poison Control for help (1-800-222-1222). https://t.co/DtIfi77vLz https://t.co/9MxSFoVM0L	1
LESA	2	The grammar in the press release is correct. No changes are needed.	1
LESA	3	@jtmanagers, I thought they said chloroquine is the cure for COVID-19. However, this virus doesn't necessarily kill people, but the issue is the speed at which it spreads.	1
LESA	4	Injecting disinfectant into the body can cure #Covid_19: @realDonaldTrump. 😳	1
LESA	5	@CruxInvestor @USDoEE Is Corona beer the cure for the coronavirus? :)	1
LESA	6	For anyone denying the effectiveness of HCQ to cure #Covid19, let's stop the charade, shall we? #MAGA https://t.co/Ow0G10jsvA	1
LESA	7	I know the World Health Organization will come and tell us that the medicine Madagascar is using to cure the coronavirus is not good. #coronavirus #COVID__19	1
LESA	8	"""Yes, that's Cape Town, but the tornado isn't local. It's from Texas and was inserted with some CGI. #CapeTownStorm"" - RyGuySA (@RyGuySA) June 7, 2017."	1
LESA	9	@cbcnewsbc It was the US government, with the assistance of the CIA, that orchestrated the epidemic in China. It is not hard to understand that the US is a threat to the whole world! Do you remember the bio-weapon the US used in the Vietnam War?	1
LESA	10	Conspiracy theorists who claim that the coronavirus is fake are contributing to what is wrong with the world.	1
LESA	11	When you're 13 years old and you just schooled @ESPN! 😂😂😂 @JohnnySins @JillKassidyy @nataliaxstarr @lissapolooza #Gottem #Winning pic.twitter.com/XaSLUz0Htp — Brett (@natilight77) August 11, 2018.	1
LESA	12	"""My students have noted that COVID-19 is showing us how any honorary white status placed on Asians in the US was always provisional."""	1
LESA	13	Booty bumping bleach does not cure #COVID19, nor is it any better than huffing Lysol.	1
LESA	14	"""Coronavirus is fake. It's just a diversion to scare people and prevent them from going out to vote."""	1
LESA	15	@catturd2, it's time to get back to work! People who have recovered from #coronavirus are now immune.	1
LESA	16	Dear, you knew about COVID-19 in January. It is now March, and your administration still does not have enough test kits. That is unconscionable and a dereliction of duty. Stop minimizing the coronavirus outbreak and start leading. Lives are at stake. Link.	1
LESA	17	You can treat pneumonia with these four acupressure points. #Covid19 #Reflexology #ModernReflexology https://t.co/p70x66DuB0	1
LESA	18	Dr. Birx realizes that @realDonaldTrump is a #StableGenius, and if you drink #Clorox or #Lysol, you most likely won't die of #COVID19.	1
LESA	19	I tried to show @BorisJohnson the picture of Jack Williment-Barr, the 4-year-old with suspected pneumonia who was forced to lie on a pile of coats on the floor of a Leeds hospital. The PM grabbed my phone and put it in his pocket: @itvcalendar | #GE19pic.twitter.com/hv9mk4xrNJ — Joe Pike (@joepike) December 9, 2019.	1
LESA	20	We have an outbreak of E. Coli O157:H7, which causes vomiting of blood, bloody diarrhea, and even blood in urine as it damages the kidneys. This is all due to Trump overturning Obama-era rules that required testing of farm water. Farmers saved $12 million, but now we are paying $108 million in medical costs. - Eugene Gu, MD (@eugenegu) November 25, 2018	1
LESA	21	Hand sanitizer and washing hands prevent the spread of coronavirus. https://t.co/rC67Pc6UWE and https://t.co/XI67KEi6fC.	1
LESA	22	"""Oh! It's just pneumonia or pneumonia-like symptoms. I'm sure it's nothing to worry about if it's 'just' pneumonia-like symptoms. It couldn't be Coronavirus. Carry on, go about your business. Ignore this. It's just pneumonia-like symptoms."""	1
LESA	23	"@realDonaldTrump, um... aren't you the person who said the cure might involve drinking bleach or taking medication that was not recommended? I think the best way to ""stay safe"" would be to stop listening to your uninformed and dangerous nonsense! #COVID19 #TrumpIsNotADoctor"	1
LESA	24	Who hasn't, at least once, thought that the cure for COVID-19 is Lysol, Ajax, ginger, and bananas? #TrumpIsA_DANGER_ToAmerica #TrumpMustGO in November! #UNFIT #ETTD.	1
LESA	25	"""@MichaelKors @womenforwomenUK, can you confirm if it's true that your bags are made of cruel dog hides from China? Please say it's not true. I would have to get rid of mine if it is."" - Barbara Taylor (@BarbaraPTaylor) October 21, 2016"	1
