topic	tweet_id	tweet_text	class_label
LESA	0	RT: if you have ever been to White Caps, you are immune to the coronavirus.	1
LESA	1	"No! Bleach won't cure COVID19. Disinfectants can't kill the coronavirus in your body. In fact, they will hurt you.

If you or someone you know has been exposed to bleach, call Poison Control for help (1-800-222-1222)."	1
LESA	2	PRESS RELEASE: Botswana condemns remarks made by President Trump.	1
LESA	3	"I thought they said chloroquin is the cure. 
This corona doesn't really kill. 
It's a virus, but the rate at which it spreads is the problem."	1
LESA	4	Injecting disinfectant into the body can cure Covid-19.	1
LESA	5	Corona beer is not the cure for the coronavirus.	1
LESA	6	For anyone denying HCQ and its effectiveness to cure Covid19, let's stop the charade, shall we?	1
LESA	7	I know the World Health Organization will come and tell us that the medicine Madagascar is using to cure the coronavirus is not good.	1
LESA	8	Yes, that's Cape Town. But the tornado isn't local. It's from Texas and was inserted with some CGI. CapeTownStorm.	1
LESA	9	It was the US government, with the assistance of the CIA, that orchestrated the epidemic in China. It is not difficult to understand that the US is a threat to the whole world. Remember the bio weapon the US used in the Vietnam War?	1
LESA	10	Conspiracy theorists claiming that the coronavirus is fake is a major issue in our society.	1
LESA	11	When you're 13 years old and you just schooled ESPN! 😂😂😂	1
LESA	12	My students have noted that COVID-19 is showing us how any honorary white status placed on Asians in the US was always provisional.	1
LESA	13	Booty bumping bleach does not cure COVID19. Not any better than huffing Lysol, anyway.	1
LESA	14	Coronavirus is not real; it is just a diversion to instill fear and discourage people from voting.	1
LESA	15	Time to get back to work! People who recovered from coronavirus are immune now.	1
LESA	16	Dear, you knew about COVID-19 in January. It is March and your administration still does not have enough test kits. That is unconscionable and a dereliction of duty. Stop minimizing the corona outbreak and start leading. Lives are at stake.	1
LESA	17	You can treat Pneumonia with these 4 Acupressure points.	1
LESA	18	Dr. Birx realizing that Donald Trump is a stable genius...AND if you drink Clorox or Lysol you most likely won't die of COVID19.	1
LESA	19	Tried to show Boris Johnson the picture of Jack Williment-Barr. The 4-year-old with suspected pneumonia forced to lie on a pile of coats on the floor of a Leeds hospital. The PM grabbed my phone and put it in his pocket.	1
LESA	20	We have an outbreak of E. Coli O157:H7, which causes symptoms such as vomiting blood, bloody diarrhea, and blood in urine due to kidney failure. This outbreak occurred because Trump reversed Obama-era regulations regarding farm water testing. As a result, farmers saved $12 million, but we ended up paying $108 million in medical expenses.	1
LESA	21	Hand Sanitizer and Washing Hands Prevent Spread of Coronavirus.	1
LESA	22	"OH! It's just pneumonia or pneumonia-like symptoms. I'm sure it's nothing to worry about if it's just ""pneumonia-like symptoms."" It couldn't be Coronavirus. Carry on, go about your business. Ignore this. It's just pneumonia-like symptoms."	1
LESA	23	"Um...aren't you the person who said the cure might involve drinking bleach? Or taking a medication that was not recommended? I think the best way to ""stay safe"" would be to stop listening to your uninformed and dangerous nonsense!"	1
LESA	24	"Who hasn't, at least once, thought:

COVID19 Cure is:

Lysol
Ajax
Ginger
Bananas

Trump is a danger to America. 

Trump must go in November!

Unfit. ETTD."	1
LESA	25	@MichaelKors, @womenforwomenUK, can you confirm if it is true that your bags are made of dog hides from China? Please clarify, as I would have to get rid of mine if this is the case.	1
