topic	tweet_id	tweet_text	class_label
LESA	0	If you have ever been to White Caps, you are immune to the coronavirus.	1
LESA	1	"No, bleach won't cure COVID-19. Disinfectants can't kill the coronavirus in your body. In fact, they will harm you.

If you or someone you know has been exposed to bleach, call Poison Control for assistance at 1-800-222-1222.

[Link to relevant information]"	1
LESA	2	"PRESS RELEASE: Botswana condemns remarks made by President Trump

The Botswana Government strongly condemns the remarks made by President Trump. We find his comments to be highly inappropriate and offensive. Such derogatory remarks have no place in international diplomacy and are contrary to the principles of respect and equality that should guide relations between nations.

Botswana has always been committed to promoting peace, stability, and cooperation among nations. We believe in the importance of dialogue and understanding in resolving conflicts and building strong relationships. President Trump's comments undermine these efforts and hinder progress towards a more peaceful and inclusive world.

We call on President Trump to retract his remarks and apologize for the offense caused. It is our hope that he will recognize the impact of his words and take responsibility for his actions. We also urge the international community to stand together in condemning such divisive and discriminatory rhetoric.

Botswana remains committed to fostering positive and constructive relationships with all nations. We believe in the power of dialogue and cooperation to address global challenges and promote mutual understanding. We will continue to work towards a world where all nations are treated with dignity and respect.

For media inquiries, please contact the Botswana Government Press Office at pressoffice@bwgovernment.org."	1
LESA	3	I thought they said chloroquine is the cure. This coronavirus doesn't really kill. It's a virus, but the rate at which it spreads is the problem.	1
LESA	4	Injecting disinfectant into the body can cure Covid-19.	1
LESA	5	Corona beer: the cure for the coronavirus?	1
LESA	6	For anyone denying HCQ and its effectiveness to cure Covid19, let's stop the charade, shall we?	1
LESA	7	I am aware that the World Health Organization will likely express concerns about the effectiveness of the medicine being used in Madagascar to treat the coronavirus.	1
LESA	8	Yes, that is Cape Town. However, the tornado is not local. It originates from Texas and was added using CGI.	1
LESA	9	The US government, with the assistance of the CIA, orchestrated the epidemic in China. It is not difficult to understand that the US poses a threat to the entire world. Do you remember the bio weapon the US used in the Vietnam War?	1
LESA	10	Conspiracy theorists claiming that the coronavirus is fake exemplify what is wrong with the world.	1
LESA	11	When you are 13 years old and you just schooled ESPN! 😂😂😂 #Gottem #Winning pic.twitter.com/XaSLUz0Htp — Brett (@natilight77) August 11, 2018	1
LESA	12	My students have noted that COVID-19 is revealing that any honorary white status bestowed upon Asians in the US was always temporary.	1
LESA	13	Booty bumping bleach does not cure COVID-19. It is no better than huffing Lysol, anyway.	1
LESA	14	Coronavirus is a hoax, designed to instill fear and discourage people from voting.	1
LESA	15	Time to get back to work! People who have recovered from the coronavirus are now immune.	1
LESA	16	"Dear [Name],

You were aware of COVID-19 in January. It is now March, and your administration still does not have enough test kits. This is unconscionable and a dereliction of duty. Please stop minimizing the outbreak and start leading. Lives are at stake.

[Link]

Thank you."	1
LESA	17	You can treat pneumonia with these four acupressure points.	1
LESA	18	Dr. Birx realizes that Donald Trump is a stable genius. Additionally, it is suggested that consuming Clorox or Lysol may reduce the risk of dying from COVID-19.	1
LESA	19	I tried to show Boris Johnson the picture of Jack Williment-Barr, the 4-year-old with suspected pneumonia who was forced to lie on a pile of coats on the floor of a Leeds hospital. The Prime Minister took my phone and put it in his pocket.	1
LESA	20	We are currently experiencing an outbreak of E. Coli O157:H7, which can cause symptoms such as vomiting blood, bloody diarrhea, and blood in the urine due to kidney failure. This outbreak is a result of Trump overturning Obama-era regulations regarding the testing of farm water. As a result, farmers have saved $12 million, but we are now facing $108 million in medical costs.	1
LESA	21	Hand Sanitizer and Washing Hands Prevent Spread of Coronavirus.	1
LESA	22	"Oh! It's just pneumonia or symptoms similar to pneumonia. I'm sure it's nothing to worry about if it's just ""pneumonia-like symptoms."" It couldn't be Coronavirus. Carry on, go about your business. Ignore this. It's just pneumonia-like symptoms."	1
LESA	23	Aren't you the person who suggested that the cure might involve drinking bleach or taking unapproved medication? The best way to stay safe is to refrain from listening to uninformed and dangerous statements.	1
LESA	24	"Who hasn't, at least once, thought:

The potential cure for COVID-19 includes:

- Lysol
- Ajax
- Ginger
- Bananas

Trump is a danger to America. He must go in November!

#UNFIT #ETTD"	1
LESA	25	@MichaelKors @womenforwomenUK, can you confirm if it is true that your bags are made from dog hides from China? Please clarify, as I would need to get rid of mine if this is the case.	1
LESA	26	Are young conservatives trolling Trump or are they just ignorant? Trump spoke at Turning Point in front of a counterfeit presidential seal that showcased the Russian Coat of Arms and golf clubs, symbolizing his affinity for Putin and his extensive time spent playing golf during his presidency.	1
LESA	27	Hydrochloroquine is the cure for Covid19, and the Democrat-controlled fake news media doesn't want anyone to know it.	1
LESA	28	"I believe you can see the timeline, Kim. The question is, what does it all mean?

Hints: What role did China and the World Bank play in Event 201? What were the connections between Wuhan's biosecurity/bioweapons research and the West?

Should we blame China? Should we blame the US? Nations are sometimes used as pawns.

Cui bono?"	1
LESA	29	Maybe COVID-19 could be the cure, rather than the disease, for stupidity.	1
LESA	30	"Please correct any grammatical errors in the provided content. Please also remove user mentionings, hashtags, and informal words.
Keep in mind this is the same country that suppresses and dilutes the cures to AIDS and cancer, then makes you pay for a subpar supplement drug. This coronavirus situation is never going away."	1
LESA	31	Yes, this is really Darrell Issa on the roof of his district office building. He is too afraid to come speak with the assembled constituents below.	1
LESA	32	President Trump has suggested a potential 'cure' for Covid-19: injections of disinfectant. However, this method would be highly dangerous and potentially fatal. It is truly astonishing.	1
LESA	33	You can die from the run-of-the-mill flu virus, even with a completely healthy and functional immune system. But sure, this new Coronavirus is somehow less deadly than that.	1
LESA	34	There is a global pandemic and this individual is on another ego trip.	1
LESA	35	Are you sure it's not diphtheria? It can cause similar symptoms. Watching a movie about Balto and Togo. Sounds so similar! People can carry diphtheria just like Corona without knowing it. Hoping for a cure.	1
LESA	36	I believe that a cure for COVID-19 can potentially be derived from a baby in the womb of a previously infected woman who successfully recovered from the virus. The child, being immune to the virus, could potentially be utilized to develop a cure for the general population.	1
LESA	37	Seek a cure for your TDS; it is worse than COVID-19.	1
LESA	38	"😷 Mask 👇️👀
https://t.co/FrBFeTFgSu

Make it only with a handkerchief and a hair elastic‼️
It cannot stop the virus, but it can prevent your cough from splashing around."	1
LESA	39	"Wait, young people are not immune to coronavirus. Do you want to know why? Watch the video ""Covid19 in 60 seconds"" by BBC News Igbo."	1
LESA	40	For those who believed that injecting disinfectants was a cure for COVID-19, here's a DIY for UV light therapy: glowsticks in the bathtub! 💡🛀	1
LESA	41	"Please correct any grammatical errors in the provided content. Please also remove user mentionings, hashtags, and informal words.
""This is crazy! Cape Town weather forecast."""	1
LESA	42	Justin Trudeau approved the transfer of a lethal virus to a Chinese bio weapons lab in Wuhan.	1
LESA	43	As announced by the DOH, there is a COVID-19 patient currently confined in Medical City Pasig. There is also a COVID-19 patient who is a Pasig resident but is currently confined in a private hospital outside of Pasig. The LGU is closely coordinating with the DOH.	1
LESA	44	I believe that communist China released the virus at this event to infect the military of the 109 nations in attendance. It could be considered an act of biowarfare.	1
LESA	45	A potential coronavirus vaccine developed in China (Ad5-nCoV, from CanSino Biologic) appears to provoke neutralizing antibodies in dozens of patients in an early-stage clinical trial.	1
LESA	46	If a Straight White Male creates a vaccine or cure, we should not reject it until a more diverse person discovers one. It is only fair.	1
LESA	47	Dr. Sankaran, a homeopath, successfully treated Iranian Coronavirus patients with Camphora 1M and 10M. Save lives in simple ways through prevention and cure. Either through vaccines or low-cost camphor, which helps keep off viruses. Its power rescues lives from respiratory distress.	1
LESA	48	Gotta watch out for people like that. Individuals who believe that the coronavirus isn't real or is just a flu are probably more likely to contract the virus themselves.	1
LESA	49	Friendly reminder that China's bio-weapon lab is located in Wuhan. #Covid_19 #coronavirus	1
LESA	50	Coincidentally, Soros warned Davos guests that the US economy was headed for a calamity ahead of the election. The coronavirus panic is the perfect setup to tank the markets.	1
LESA	51	The Healthcrats' cure is proving worse than the disease. Unprepared COVID-19 is causing more harm than anticipated. Flatten the curve.	1
LESA	52	Today's coronavirus recap: 93,164 confirmed cases globally, with 3,199 deaths. 90% of new cases are from Iran, Italy, and South Korea. COVID-19 is deadlier than the flu but doesn't spread as easily. Containment remains a top priority for Europe and Africa. The supply of personal protective equipment (PPE) is rapidly depleting, and an increase in production is needed.	1
LESA	53	I swear ginger and garlic are the cure to everything.	1
LESA	54	I am immune to the coronavirus. It can be defeated by me anytime.	1
LESA	55	Covid-19 is a lab-created bioweapon, not a random anomaly from a Chinese diet.	1
LESA	56	Dear, the number of coronavirus cases has grown to over 1000 tonight, with at least 31 deaths. The virus has spread to 38 states. Can you tweet about when we will have sufficient numbers of test kits? Additionally, it would be helpful to know if the labs have the materials they need.	1
LESA	57	"Good God! Ilhan Omar, the congresswoman whom Laura Loomer tried to warn about, has written a letter asking the judge for ""compassion"" in the sentencing of an ISIS recruit. She needs to resign!"	1
LESA	58	Carbolic soap is the cure. As soon as Covid disappears, rest assured it will never return.	1
LESA	59	Lysol effectively stops the coronavirus. It is recommended to have a can or two in your homes.	1
LESA	60	"""Now we need to focus on drugs,"" meaning narcotics, not coronavirus cures or testing. Where are the test kits?"	1
LESA	61	This man is part of the Deep State. Donald Trump speaks the truth! Injecting chlorine bleach will cure COVID-19 and block harmful 5G rays.	1
LESA	62	It is common sense to inject Lysol into your veins. That will kill it. Do not believe the Fake News.	1
LESA	63	There is no evidence that individuals who have survived a bout of coronavirus become immune from the disease and cannot transmit the infection to others. The World Health Organization (WHO) has stated this.	1
LESA	64	Dr. Sarfaraz Munshi describes a vital breathing technique for coronavirus Covid-19 sufferers that could prevent the patients from contracting secondary pneumonia, which could prove incredibly dangerous to health.	1
LESA	65	Why is President Obama allowed to use Air Force One on the campaign trail with Hillary Clinton? She is flying with him tomorrow. Who pays?	1
LESA	66	Youngstown students held their senior picnics at Willow Lake and consumed Lokos before they were recalled. We are all immune to the coronavirus.	1
LESA	67	Please be cautious when voting in Illinois. Ensure that you take the time to review your votes before submitting them.	1
LESA	68	If you have swum in any river in Iowa, you are immune to the coronavirus.	1
LESA	69	Deadass, they need to find a cure for this coronavirus as soon as possible.	1
LESA	70	Meanwhile, in a land full of cocaine.	1
