topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	India sent 100,000 COVID-19 vaccines to Barbados, which arrived today. Barbadians are grateful and thank Prime Minister Modi for the kind gesture.	0
COVID-19	1370008076489789440	President Kagame and the First Lady received their COVID-19 vaccines at King Faisal Hospital as part of the nationwide vaccination rollout. Over 230,000 people have already been vaccinated.	0
COVID-19	1367726730044207104	Rwanda received 50,000 Covid-19 vaccine doses from India and is thankful for their contribution to fighting the pandemic.	0
COVID-19	1369888483414712322	Four ex-presidents have teamed up and appeared together in national ads promoting COVID-19 vaccines to encourage trust in them. They all received the vaccine and the ads were released on Thursday.	0
COVID-19	1368585187500691461	Russia's intelligence services created fake news sites and social media accounts to spread misinformation about Pfizer and Moderna vaccines, in an effort to decrease trust in them.	1
COVID-19	1368249497734713346	Joel Embiid is giving $100,000 to help homeless people in Philly with meals, clothes, care for those who get COVID-19 vaccines, funds for a summer camp, shelter for over 300 teenagers, and support for families who were homeless before.	0
COVID-19	1365324501475594243	Canada should produce its own vaccines instead of relying solely on international partners to ensure enough doses for all Canadians, argues Mossmanlab for MacGlobalNexus Fitzhenry Vector Lab to produce COVID-19 vaccines.	0
COVID-19	1350907284575043584	People who claim vaccines are completely safe and mock those who are against them will have to depend on those who tell the truth about vaccines being important. Recently, 23 people in Norway died after getting the COVID-19 vaccine.	1
COVID-19	1370453239309680640	Starting on April 5, all Michigan residents who are at least 16 years old can get a COVID-19 vaccine. It is recommended that everyone who is eligible should get vaccinated with one of the three safe and effective vaccines.	0
COVID-19	1367517694279393282	AstraZeneca's COVID-19 vaccine shipment to Australia has been blocked by the EU and Italy because the company did not deliver the amount of doses it had promised for Europe.	0
COVID-19	1367555102291148801	Team @OSUWexMed gave the Johnson & Johnson COVID-19 vaccine, which is a single dose vaccine approved by the FDA. This will help us vaccinate more people faster. Production is being increased.	0
COVID-19	1365385808316944386	NC is the top state in the US for giving vaccines to seniors over 65. Good job, North Carolina! I'm proud of the vaccine providers and NCDHHS for working hard to get vaccines to people fairly and quickly.	0
COVID-19	1367295604703993856	All three authorized vaccines in the U.S. greatly reduce the risk of getting Covid-19 and are highly effective against serious outcomes like hospitalization and death.	0
COVID-19	1366074035348467712	Simulation study found that vaccinating people earlier with a less effective vaccine is better than waiting a month for a more effective vaccine.	0
COVID-19	1364402806992568320	The Navajo Nation has given over 100,000 COVID-19 vaccines to more than half of its residents, meeting their goal for February. They attribute their success to efforts to get more supply, vaccinators, and places to administer vaccines.	0
COVID-19	1369998582435229696	CVS is now offering Covid-19 vaccines in 29 states and Puerto Rico, which is almost double the number of states where they were offering vaccinations before through Biden's federal retail pharmacy program.	0
COVID-19	1369512362873589760	Alaska is allowing anyone over 16 who lives or works in the state to get a Covid-19 vaccine without any eligibility requirements.	0
COVID-19	1370191018243465219	Biden said everyone will be able to get a covid vaccine by May 1. I hope to get vaccinated and have a tequila shot on my birthday.	0
COVID-19	1365011945108176901	Moody's predicts that India's economy will grow at a rate of 13.7% in FY2022 due to normalisation of activity and growing confidence in the market after Covid-19 vaccines. This is an increase from the earlier estimated rate of 10.8%.	0
COVID-19	1369788331232493573	A new drive-thru vaccination site was announced in Sumterville that will provide 3,000 Johnson & Johnson vaccines for senior citizens over the next three days. #SeniorsFirst.	0
COVID-19	1369591200093732864	EU has agreed to buy 4 million more COVID-19 vaccine doses from BioNTech-Pfizer to help hotspot areas and allow free border movement. #StrongerTogether	0
COVID-19	1356605799766745090	Elvis got vaccinated for polio in 1956, which encouraged many others to do the same. Now, three former presidents are considering getting vaccinated for COVID-19 to encourage others to do so.	0
COVID-19	1369988744728616965	India has sent more than 48 million doses of Covid vaccines to different countries as of March 4. Out of these, 7.35 million doses were provided as a gift, 28.84 million on a commercial basis, and 11.91 million doses were sent through the COVAX program.	0
COVID-19	1370046383458246659	Whoopi Goldberg got the COVID-19 vaccine and is urging others to do the same.	0
COVID-19	1371118941460963331	Vaccines are not 100% effective, so keep wearing masks to stay safe.	0
COVID-19	1368703552546308099	Russian intelligence is trying to make people lose faith in Western vaccines like Pfizer's.	1
COVID-19	1368561780142792705	A survey showed the extent of people's reluctance to take the AstraZeneca vaccine in Europe. Between 19-27% of people in various countries would refuse it and wait for a different vaccine, while the acceptance rates for the Pfizer and Moderna vaccines were higher.	0
COVID-19	1366780368318312449	Radiologists are reporting that Covid-19 vaccines are causing unusual swelling that can show up on routine scans. Here are some tips to avoid unnecessary concerns about cancer when getting vaccinated.	1
COVID-19	1367820629886504961	Uganda received 864,000 doses of the AstraZeneca COVID-19 vaccine from the Serum Institute of India through the COVAX facility. This is an exciting development and many people worked together to make it happen.	0
COVID-19	1369404118759055364	CVS will give COVID-19 vaccines at 76 new locations in Florida, bringing the total to 157 in 30 counties. More information can be found here: https://t.co/Y3jWFaWXlz.	0
COVID-19	1369032423695081476	Everyone in phase 3 can now get vaccinated and new appointments will be available at midnight.	0
COVID-19	1367717174236839937	The current global vaccination rate is 6.5 million doses per day. At this rate, it will take about 4.7 years to vaccinate 75% of the population with two doses. This is a problem, especially for low- and middle-income countries who need the vaccine faster.	0
COVID-19	1369629278053269507	Alaska now allows all individuals 16 years and older to receive the COVID-19 vaccine, without eligibility requirements. This makes Alaska the first state to do so.	0
COVID-19	1368236350948970499	New Yorkers are happy to wait for vaccines at Yankee Stadium in the middle of the night.	0
COVID-19	1363964279997743108	Vaccines can make people feel a little sick or tired, but it's a sign that the immune system is working. These side effects should go away in about a week. Learn more about the COVID-19 vaccine.	0
COVID-19	1363354245576220672	Australia has started vaccinating people against COVID-19. The first vaccinations were given in Sydney. More information about the vaccine rollout can be found at the given link.	0
COVID-19	1370050585924354053	President Bush and Laura Bush got vaccinated against COVID-19 and encourage others to do the same when it's their turn. Vaccines are safe and effective and can help us recover from the pandemic.	0
COVID-19	1368885882707578885	Indonesia received 1.1 million AstraZeneca COVID-19 vaccines through Covax Facility and plans to get a total of 13.7 million doses.	0
COVID-19	1368474007578742786	We delivered the first COVID-19 vaccines to Ethiopia and had a ceremony to hand them over to the Ministry of Health. We will continue to transport vaccines to help save lives.	0
COVID-19	1369517118970982400	UNICEF and partners have delivered 15 million COVID-19 vaccine doses to countries through COVAX in the past two weeks to make vaccines available to everyone.	0
COVID-19	1367168699464040451	The San Diego Zoo gave experimental COVID-19 vaccines to great apes in their care after a troop of gorillas got sick in January.	0
