topic	tweet_id	text	claim
OC	0	I thought maybe we ' d grab dinner and try to find something fun to do ( which may be hard in Cleveland on a Sunday night , but . . . we can try ! ) . 	0
OC	1	Wow , this is so much better with the commentary . 	0
OC	2	I ' m supposed to get into town around 4 : 30 or so Sunday afternoon , and another one of us is supposed to be meeting me at the hotel that evening . 	0
OC	3	I first " watched " it in the original form ( I left it open playng in the background for a while because it was just too frusterating / sad to watch the repetitions ) . 	0
OC	4	Now would be a good time for folks to send a few dollars to Bachmann ' s opponent , who seems like a good guy , even aside from the fact that he ' s most emphatically not Michele Bachmann . 	0
OC	5	That is awesome ! 	0
OC	6	I especially like the environment in this one ! 	0
OC	7	its too bad i started my account when i was all twelve years old and dangerous . 	0
OC	8	my live journal name sucks balls and it really shouldn ' t matter except that if i was someone else and i saw me online i wouldn ' t talk to me because i sound all angst-ridden and tragic . 	1
OC	9	A haiku to cobblestones ! 	0
OC	10	Aye ! 	0
OC	11	A sonnet to pavements ! 	0
OC	12	Patrick Jane ' s would say BATSHIT INSANE . 	0
OC	13	I ditto tom . 	0
OC	14	Such a person is interesting and will continue to be interesting and fun to be with . 	0
OC	15	I choose plain and utterly brilliant because sparkling conversations and learning is smexy . 	0
OC	16	Reccomended . 	0
OC	17	And just to annoy you , here ' s the quote of the day : " Time to put the mental in judgemental ! " 	0
OC	18	-my bffl 	0
OC	19	And I know the Bible way better than them . 	0
OC	20	And that last paragraph made no sense at all . 	0
OC	21	I meant all the things you thought I did wrong , which actually weren ' t wrong . 	0
OC	22	We have been keeping the Brugal Añejo on the shelf here , along with others . 	0
OC	23	But of course he wouldn ' t wear it . 	0
OC	24	I ' m going to someone ' s birthday drinks beforehand , so depending how that goes I may see you later : ) 	0
OC	25	Excellent ! 	0
OC	26	I ' ve founds some of the most lovely places around Spartanburg , new secret hiding places . 	0
OC	27	i know . 	0
OC	28	that ' s the best thing I ' ve read all day . 	0
OC	29	would definitely like to learn japanese and german for travel purposes . 	0
OC	30	i ' ve got it down in english and spanish ( which i ' ve apparently absorbed ) . 	0
OC	31	wait , ill dress it up in my love . 	0
OC	32	Smart is sexy . 	1
OC	33	My email is mutsumi@hotmail . co . uk You had this addy on your hotmail a year ago , but I ' ve not seen you online since that time we fell out of good terms over ALcon . 	0
OC	34	Non-applicable now - family ! 	0
OC	35	I have been handed this decision in the past , and have always , always chosen the smart one . 	0
OC	36	Period . 	0
OC	37	I spend too much time trying to figure out who everyone is . 	0
OC	38	I hate these things , because I ' m always afraid I ' ll see something I won ' t want to . 	0
OC	39	All-nighter rambling stream-of-consciousness conversations are hotter than ANY face / body combo . 	0
OC	40	Always ( for me ) . 	0
OC	41	although in this case i think needing has been a positive , it ' s allowed me to dispell my lies and break down all those walls i had cemented around me 	1
OC	42	I think I vaguely remember that once upon a time . 	0
OC	43	thank you master kanobi , xxx . 	0
OC	44	But at least you got a bottle of vodka out of it . 	0
OC	45	-deuce 	0
OC	46	Hee hee , I ' m also a Maine Coon . 	0
OC	47	I ' m shocked , shocked I say ! 	0
OC	48	Grats on another year ; ) 	0
OC	49	ok what size diameter and length ect ? 	0
OC	50	Plus I sometimes hate those damn things . 	0
OC	51	Sorry , just a very enthusiastic reaction to linguistic accuracy . 	0
OC	52	MF Doom is the best rapper there is , pretty much . 	1
OC	53	* she photoshops out a gap in her chipped tooth a gap that she can whistle through * 	0
OC	54	u so hot ! ! 	0
OC	55	I totally do think Brokeback should have won ! 	0
OC	56	Me too ! 	0
OC	57	thats freakin ' adorable ! 	1
OC	58	I don ' t feel like it ' s so astute to point out that the Oscars are kind of pompous and out of touch . 	1
OC	59	Plus criticisms like that , coming from someone who lost , just come off as petty . 	0
OC	60	Add the excessive bitterness , and I don ' t think she really accomplished more than making herself look like an ass . 	0
OC	61	Also you should be making sure supplies are taken care of before as there is only so much time left 	1
OC	62	I think that ' s why . 	0
OC	63	Because when I first heard it I was like " WTF ? 	0
OC	64	you are so amazing ! 	0
OC	65	Gwen made a new song already ? ? ? " 	0
OC	66	My life is still completely fucked up , but he makes it bearable . 	0
OC	67	I guess he saved my life in some odd way . 	1
OC	68	If he hadn ' t made me laugh and given me something to look forward to , I wouldn ' t be here today . 	0
OC	69	If anything , that goes to show how little I have . 	1
OC	70	Its too easy for some dimwitted motorist to decide to " jump = " lanes " and pull out without looking , or open a door or what the hell ever that might cause you to have an accident . 	0
OC	71	Its illegal because its an incredibly stupid thing to do . 	1
