topic	tweet_id	tweet_text	class_label
pig	23423	India sent 100,000 doses of COVID-19 vaccines to Barbados	0
pig	23423	they arrived earlier today	0
pig	23423	This is a significant and meaningful gesture	0
pig	23423	the people of Barbados are grateful to the Prime Minister of India , Mr. Modi , for his prompt and generous decision to send these vaccines	0
pig	23423	Thank you Mr. Modi	0
cat	1161	Being a part of @ETHPnews we	1
cat	1161	Being a part of @ETHPnews we are delighted to announce that we have established two # COVID19 Immunization Clinics in # EastToronto This week	1
cat	1161	we announce that we have established two # COVID19 Immunization Clinics in # EastToronto . This week , these clinics will provide vaccines to eligible priority groups , such as health care workers and individuals over 80 years old	1
cat	1161	we established two # COVID19 Immunization Clinics in # EastToronto	1
cat	1161	This week these clinics will provide vaccines to eligible priority groups , such as health care workers and individuals over 80 years old	1
cat	1161	For more information please visit https://t.co/t890KePvBG https://t.co/We2EdhFitS.	1
