topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	Barbados received 100,000 COVID-19 vaccines from India as a gift. Barbadian officials expressed gratitude towards Indian Prime Minister Narendra Modi for his swift and generous decision to provide them with vaccines.	0
COVID-19	1370008076489789440	The President of Rwanda, Paul Kagame, and First Lady Jeannette Kagame received their COVID-19 vaccines at King Faisal Hospital as part of the ongoing nationwide vaccination program, which has already vaccinated more than 230,000 people.	0
COVID-19	1367726730044207104	Rwanda has received 50,000 doses of Covid-19 vaccines from India. The Rwandan government expressed gratitude towards India and other partner countries for their support in battling the pandemic.	0
COVID-19	1369888483414712322	Four former US presidents appear in national ad campaigns, released Thursday, to promote COVID-19 vaccines and encourage trust in the immunizations. The presidents are shown receiving their own vaccinations against the virus.	0
COVID-19	1368585187500691461	Russia's three main intelligence services - SVR, FSB, and GRU - operated fake news websites and fake social media accounts to spread false information about the Pfizer and Moderna Covid-19 vaccines, according to sources. The misinformation campaign was an attempt to erode public trust in the vaccines.	1
COVID-19	1368249497734713346	Joel Embiid, an NBA player, will give his $100,000 All-Star Game earnings to three homeless shelters in Philadelphia. The funds will go toward meals, clothing, care for vaccinated individuals with COVID-19, a summer camp, shelter for more than 300 teenagers, and support for families who were once homeless.	0
COVID-19	1365324501475594243	The Fitzhenry Vector Lab, a facility at McMaster University, could produce COVID-19 vaccines for all Canadians, according to Mossmanlab. The lab would help Canada reduce reliance on international partners for vaccine production.	0
COVID-19	1350907284575043584	Following the deaths of 23 people in Norway after receiving the COVID-19 vaccine, those who previously claimed that vaccines are completely safe may now depend on those who oppose vaccination to promote its importance.	1
COVID-19	1370453239309680640	From April 5, all Michigan residents over the age of 16 will be eligible to receive a COVID-19 vaccine. The state is urging all eligible residents to receive the vaccine as soon as possible.	0
COVID-19	1367517694279393282	AstraZeneca's COVID-19 vaccine shipment from Europe to Australia has been blocked by the EU and Italy. This is in response to the drug manufacturer's failure to deliver the doses it promised Europe.	0
COVID-19	1367555102291148801	The OSUWexMed team has administered some of the initial doses of the Johnson & Johnson COVID-19 vaccine, the only single-dose shot permitted by the FDA. They are currently working to increase production to vaccinate a greater number of people faster.	0
COVID-19	1365385808316944386	North Carolina is leading the US in vaccinating adults over 65, according to a recent ranking. The state has been commended for the hard work of vaccine providers and the North Carolina Department of Health and Human Services in quickly and equitably administering vaccines.	0
COVID-19	1367295604703993856	The three COVID-19 vaccines approved in the US, namely Johnson & Johnson, Moderna, and Pfizer-BioNTech, significantly reduce the risk of contracting the disease and have high efficacy rates against severe outcomes such as hospitalization and death.	0
COVID-19	1366074035348467712	According to simulations, administering a vaccine with lower efficacy to more people sooner can prevent more COVID-19 cases, hospitalizations, and deaths than waiting for a higher efficacy vaccine even for just a month.	0
COVID-19	1364402806992568320	The Navajo Nation has exceeded its aim of delivering 100,000 COVID-19 vaccinations by the end of February, covering more than 50% of its population. The efforts to increase supply and people administering vaccines are yielding results.	0
COVID-19	1369998582435229696	CVS has expanded the number of states where it provides Covid-19 vaccines through the federal retail pharmacy programme to 29 states and Puerto Rico, almost doubling its coverage.	0
COVID-19	1369512362873589760	Alaska has become the first state to allow anyone who lives or works in the state and is 16 years or older to get a COVID-19 vaccine, without any eligibility requirements. Governor Dunleavy announced the new policy.	0
COVID-19	1370191018243465219	US President Biden announced that all American adults will be eligible to receive anti-COVID vaccines by May 1, and he also promised to expand vaccine access. This news brings hope and excitement for everyone, including those who are looking forward to celebrating their birthdays under a more favorable light, such as with a single vaccine shot and a tequila shot.	0
COVID-19	1365011945108176901	Moody's, a rating agency, has raised its projection for India's growth in FY2022 from 10.8% to 13.7% due to the normalization of economic activity and increased confidence in the market due to the Covid-19 vaccine's rollout.	0
COVID-19	1369788331232493573	A new drive-thru vaccination site has been announced in Sumterville, offering 3,000 Johnson & Johnson vaccines to Florida residents over the age of 65 in the next three days. The initiative is part of the #SeniorsFirst campaign. More information is available at the provided link.	0
COVID-19	1369591200093732864	The EU has secured an agreement with BioNTech-Pfizer to supply an additional four million doses of COVID-19 vaccines in the next two weeks. This will aid in addressing hotspots and promote border movement among European countries.	0
COVID-19	1356605799766745090	Elvis got vaccinated backstage at the Ed Sullivan Show in 1956, encouraging others to get the polio vaccine. Now, three former US presidents are considering getting publicly vaccinated against COVID-19 to inspire confidence in the vaccine's safety and effectiveness.	0
COVID-19	1369988744728616965	India has so far supplied 481 million doses of Covid-19 vaccines to other countries, with 73.5 million provided as grants, 288.4 million on a commercial basis, and 119.16 million doses for COVAX. This is as of March 4, according to official sources.	0
COVID-19	1370046383458246659	"Whoopi Goldberg announces that she received her first dose of the COVID-19 vaccine and encourages others to do the same. She states, ""get the shot!"" For more information on COVID-19 vaccines, visit the provided link."	0
COVID-19	1371118941460963331	Even though vaccines are highly effective in preventing severe Covid illness and death, they are not 100% perfect. Therefore, it is still important to wear masks.	0
COVID-19	1368703552546308099	Russian intelligence agencies are working to decrease trust in Western vaccines such as Pfizer's vaccine, according to reports.	1
