topic	tweet_id	tweet_text	class_label
LESA	0	RT @taaayyyylor: if you ever been to white caps you are immune to the coronavirus	1
LESA	1	"No! #Bleach won't cure #COVID19. Disinfectants can't kill the #coronavirus in your body. In fact, they will hurt you.

If you or someone you know has been exposed to bleach, call Poison Control for help (1-800-222-1222).

https://t.co/DtIfi77vLz https://t.co/9MxSFoVM0L"	1
LESA	2	PRESS RELEASE |Botswana condemns remarks made by President Trump @VensonMoitoi @MIACBW @OfficialMasisi pic.twitter.com/16i7CUMR4x — Botswana Government (@BWGovernment) January 12, 2018	1
LESA	3	"@jtmanagers I thought they said chloroquin is the cure . ??
This corona doesnt really kill 
It's a virus but the rate at which it spreads is the problem"	1
LESA	4	Injecting disinfectant into body can cure #Covid_19 : @realDonaldTrump. 😳	1
LESA	5	@CruxInvestor @USDoEE Corona beer the cure for corona virus :+)	1
LESA	6	"For anyone denying HCQ and it’s effectiveness to cure #Covid19. Let’s stop the charade shall we? #MAGA 
 
 https://t.co/Ow0G10jsvA"	1
LESA	7	I know World health organization will come and tell us the medicine Madagascar is using in cure of Corona virus is not good. #coronavirus #COVID__19	1
LESA	8	Yes that’s Cape Town. But tornado ain’t local. It’s from Texas, and got inserted with some CGI #CapeTownStorm — RyGuySA (@RyGuySA) June 7, 2017	1
LESA	9	@cbcnewsbc It was the us government with the assistance of the CIA to orchestrate the epidemic in China. It’s not hard to understand the us is the threat to the whole world! Remember the bio weapon the us used in Vietnam war?	1
LESA	10	Conspiracy theorists saying the corona virus is fake is what’s wrong with the world.	1
LESA	11	When you’re 13 years old, and you just schooled @ESPN !!! 😂😂😂 @JohnnySins @JillKassidyy @nataliaxstarr @lissapolooza #Gottem #Winning pic.twitter.com/XaSLUz0Htp — Brett (@natilight77) August 11, 2018	1
LESA	12	my students have noted that covid19 is showing us how any honorary white status placed on asians in the us was always provisional	1
LESA	13	Booty bumping bleach does not cure #COVID19. Not any better than huffing Lysol, anyway.	1
LESA	14	@Lace22Leather Coronavirus is fake ...just a diversion to get people scared to not go out and vote	1
LESA	15	@catturd2 Time to get back to work! People who recovered from #coronavirus are immune now	1
LESA	16	dear you knew about covid 19 in january it is march and your administration still does not have enough test kits that is unconscionable and a dereliction of duty stop minimizing the coronaoutbreak and start leading lives are at stake link	1
LESA	17	You can treat #Pneumonia with these 4 #Acupressure points.#Covid19 #Reflexology #ModernReflexology https://t.co/p70x66DuB0	1
LESA	18	Dr. Birx realizing that @realDonaldTrump IS a #StableGenius ...AND if you drink #Clorox or #Lysol you most likely won’t die of #COVID19 https://t.co/bcctoEfwzK	1
LESA	19	Tried to show @BorisJohnson the picture of Jack Williment-Barr. The 4-year-old with suspected pneumonia forced to lie on a pile of coats on the floor of a Leeds hospital. The PM grabbed my phone and put it in his pocket: @itvcalendar | #GE19pic.twitter.com/hv9mk4xrNJ — Joe Pike (@joepike) December 9, 2019	1
LESA	20	We have an outbreak of E. Coli O157:H7 which makes you vomit blood, have bloody diarrhea, and even pee blood as you lose your kidneys. It’s all because Trump overturned Obama-era rules to test our farm water. Farmers save $12 million so that we pay $108 million in medical costs. — Eugene Gu, MD (@eugenegu) November 25, 2018	1
LESA	21	Hand Sanitizer, Washing Hands Prevents Spread Of Coronavirus https://t.co/rC67Pc6UWE E https://t.co/XI67KEi6fC	1
LESA	22	"OH!  It's just pneumonia or pneumonia like symptoms.  I'm sure it's nothing to worry about if its' just ""pneumonia like symptoms.""  It couldn't be Coronavirus.  Carry on, go about your business.  Ignore this.  It's just pneumonia like symptoms. https://t.co/PKE28kkFhH"	1
