topic	tweet_id	tweet_text	class_label
LESA	0	"""If you have ever been to White Caps, you are immune to the coronavirus."""	1
LESA	1	"No! #Bleach won't cure #COVID19. Disinfectants can't kill the #coronavirus in your body. In fact, they will hurt you.

If you or someone you know has been exposed to bleach, call Poison Control for help (1-800-222-1222).

https://t.co/DtIfi77vLz https://t.co/9MxSFoVM0L

Corrected: No! #Bleach won't cure #COVID19. Disinfectants can't kill the #coronavirus in your body. In fact, they will harm you.

If you or someone you know has been exposed to bleach, call Poison Control for help (1-800-222-1222).

https://t.co/DtIfi77vLz https://t.co/9MxSFoVM0L"	1
LESA	2	"PRESS RELEASE | Botswana condemns remarks made by President Trump @VensonMoitoi @MIACBW @OfficialMasisi pic.twitter.com/16i7CUMR4x — Botswana Government (@BWGovernment) January 12, 2018

Corrected grammar: 

PRESS RELEASE | Botswana condemns remarks made by President Trump. @VensonMoitoi @MIACBW @OfficialMasisi pic.twitter.com/16i7CUMR4x — Botswana Government (@BWGovernment) January 12, 2018"	1
LESA	3	@jtmanagers, I thought they said chloroquine is the cure? This coronavirus doesn't really kill; it's a virus, but the problem lies in the rate at which it spreads.	1
LESA	4	"Injecting disinfectant into the body can cure #Covid_19: @realDonaldTrump. 😳
Corrected grammar:"	1
LESA	5	@CruxInvestor @USDoEE Is Corona beer the cure for the coronavirus? :+)	1
LESA	6	For anyone denying HCQ and its effectiveness to cure #Covid19, let's stop the charade, shall we? #MAGA.	1
LESA	7	I know the World Health Organization will come and tell us that the medicine Madagascar is using to cure the coronavirus is not good. #coronavirus #COVID__19	1
LESA	8	Yes, that's Cape Town. But a tornado isn't local. It's from Texas and was inserted with some CGI. #CapeTownStorm	1
LESA	9	@cbcnewsbc It was the US government, with the assistance of the CIA, that orchestrated the epidemic in China. It's not hard to understand that the US is a threat to the whole world! Remember the bio weapon the US used in the Vietnam War?	1
LESA	10	Conspiracy theorists who claim that the coronavirus is fake are what's wrong with the world.	1
LESA	11	When you're 13 years old and you just schooled @ESPN!!! 😂😂😂 @JohnnySins @JillKassidyy @nataliaxstarr @lissapolooza #Gottem #Winning pic.twitter.com/XaSLUz0Htp — Brett (@natilight77) August 11, 2018	1
LESA	12	My students have noted that COVID-19 is showing us that any honorary white status placed on Asians in the US was always provisional.	1
LESA	13	Booty bumping bleach does not cure #COVID19. It's not any better than huffing Lysol, anyway.	1
LESA	14	@Lace22Leather Coronavirus is fake... just a diversion to scare people and prevent them from going out to vote.	1
LESA	15	@catturd2 It's time to get back to work! People who have recovered from #coronavirus are now immune.	1
LESA	16	"Dear [Name],

You knew about COVID-19 in January, and it is now March, yet your administration still does not have enough test kits. This is unconscionable and a dereliction of duty. Stop minimizing the #coronaoutbreak and start leading. Lives are at stake.

[Insert link]

Sincerely, [Your Name]"	1
LESA	17	You can treat #Pneumonia with these 4 #Acupressure points. #Covid19 #Reflexology #ModernReflexology https://t.co/p70x66DuB0	1
LESA	18	Dr. Birx realizing that @realDonaldTrump IS a #StableGenius... AND if you drink #Clorox or #Lysol, you most likely won't die of #COVID19. https://t.co/bcctoEfwzK	1
LESA	19	Tried to show @BorisJohnson the picture of Jack Williment-Barr, the 4-year-old with suspected pneumonia who was forced to lie on a pile of coats on the floor of a Leeds hospital. The PM grabbed my phone and put it in his pocket: @itvcalendar | #GE19pic.twitter.com/hv9mk4xrNJ — Joe Pike (@joepike) December 9, 2019	1
LESA	20	We have an outbreak of E. Coli O157:H7, which causes vomiting blood, bloody diarrhea, and even blood in urine due to kidney failure. This outbreak occurred because Trump overturned Obama-era rules regarding farm water testing. As a result, farmers saved $12 million, but we are now facing $108 million in medical costs.	1
LESA	21	Hand sanitizer and washing hands prevent the spread of coronavirus.	1
LESA	22	"""Oh! It's just pneumonia or pneumonia-like symptoms. I'm sure it's nothing to worry about if it's just 'pneumonia-like symptoms.' It couldn't be Coronavirus. Carry on, go about your business. Ignore this. It's just pneumonia-like symptoms."""	1
LESA	23	"@realDonaldTrump Um...aren't you the person who said the cure might involve drinking bleach? Or taking a medication that was not recommended? I think the best way to ""stay safe"" would be to stop listening to your uninformed and dangerous nonsense!!!! #COVID19 #TrumpIsNotADoctor"	1
LESA	24	"@JScottPatterson @JuddApatow Who hasn't, at least once, thought:

#COVID19 Cure is:

Lysol
Ajax
Ginger
Bananas

#TrumpIsADANGERToAmerica

#TrumpMustGOinNovember!

#UNFIT #ETTD"	1
LESA	25	@MichaelKors @womenforwomenUK Can you confirm if it is true that your bags are made of cruel dog hides from China? Please say it is not true. I would have to dump mine if it is.	1
LESA	26	Are young conservatives trolling Trump, or are they just stupid? Trump spoke at Turning Point in front of a fake presidential seal featuring the Russian Coat of Arms and golf clubs, created to illustrate his love for Putin and the fact that he has spent 30% of his term playing golf. #Trump pic.twitter.com/B7vEunRoC6 — Bryan Dawson (@BryanDawsonUSA) July 25, 2019	1
LESA	27	"""#Hydrochloroquine is the CURE for #Covid19, and the Democrat-controlled #FakeNews media doesn't want anyone to know it."""	1
LESA	28	"@KimIversenShow, I believe you can see the timeline, Kim. The question is, what does it all mean?

Hints: What part did China AND the World Bank play in Event 201? What were the links between Wuhan's biosecurity/bioweapons research and the West?

Should we blame China? Should we blame the US? Nations are sometimes pawns.

Cui bono?"	1
LESA	29	@moreki_mo @solange_lebourg Maybe COVID-19 might be the cure, not the disease, for stupidity.	1
LESA	30	Keep in mind, this is the same country that suppresses and dilutes the cures to AIDS and cancer, then makes you pay for a half-assed supplemental drug. This coronavirus shit ain't never going away! @CNN 🇺🇸 🇺🇸 #GovernmentCoverUp #GoodFriday2020 #HappyEaster #coronavirus #pharmaceuticals	1
LESA	31	Yes, this is really @DarrellIssa on the roof of his district office building, too afraid to come speak with the assembled constituents below.	1
LESA	32	So, #Trump has devised a 'cure' for #Covid19: 'injections of disinfectant' which obliterate the disease. Unfortunately, it would also prove quite fatal! Simply astounding.	1
LESA	33	@DomWPC @Bc_ology You can die from the run-of-the-mill flu virus, even with a completely healthy and functional immune system. But sure, this new Coronavirus is somehow less deadly than that. 🙄	1
LESA	34	There's a global pandemic, and this asshole is on another ego trip (maybe the cocaine has kicked in?). https://t.co/8sPb5xK0MD	1
LESA	35	@CDCgov Are you sure it's not diphtheria? It can cause similar symptoms. I'm watching a movie about Balto & Togo, and it sounds so similar! People can carry diphtheria just like Corona without knowing it. #coronavirus #cdc #hopingforacure	1
LESA	36	"@scrowder I think, based on theory/movies, that a cure for #COVID19 can be found from a baby in the womb of a previously infected woman who got through it. The child, once born, should be immune to the virus, which can then be used to create the cure for everyone else.

#Ccot #USA #PJnet #1A"	1
LESA	37	@JSH_cbAffiliate @thehill Seek a cure for your #TDS. It's worse than #COVID19.	1
