topic	tweet_id	tweet_text	class_label
LESA	0	If you've been to White Caps, you're immune to coronavirus.	1
LESA	1	Bleach cannot cure COVID-19 and disinfectants cannot kill the virus in your body. Ingesting or exposing yourself to bleach can be harmful and you should call Poison Control for help if this happens.	1
LESA	2	Botswana government has criticized President Trump's comments.	1
LESA	3	There is confusion about whether chloroquine is a cure for COVID-19. The virus is not deadly for everyone, but its high rate of transmission is a concern.	1
LESA	4	Injecting disinfectant to cure Covid-19 was suggested by President Trump.	1
LESA	5	Corona beer is not a cure for the coronavirus.	1
LESA	6	If you deny the effectiveness of HCQ in curing Covid-19, you're not being truthful. Let's stop pretending and support MAGA.	1
LESA	7	WHO may say Madagascar's COVID-19 cure is not effective.	1
LESA	8	The tornado in the Cape Town storm was not real, it was added with CGI and originally from Texas.	1
LESA	9	The US government, with the help of the CIA, caused the epidemic in China. This shows that the US is a threat to the world. They have a history of using bio weapons, like in the Vietnam War.	1
LESA	10	People who believe the coronavirus is fake are contributing to the world's problems.	1
LESA	11	A 13-year-old person outsmarted ESPN and some adult performers on Twitter and shared their victory with a humorous tweet.	1
LESA	12	My students believe that the COVID-19 pandemic has revealed that any perceived privilege or status given to Asians in the US was never truly secure or guaranteed.	1
LESA	13	Bleach and Lysol cannot cure COVID-19, even if used in unconventional ways.	1
LESA	14	Coronavirus is not real, it's just a tactic to scare people from voting.	1
LESA	15	People who recovered from coronavirus are now immune.	1
LESA	16	You knew about COVID-19 in January, but it's now March and your administration still doesn't have enough test kits. This is unacceptable and you need to take action to protect lives. Stop downplaying the outbreak and start leading. People's lives are at risk.	1
LESA	17	Use 4 acupressure points to treat pneumonia.	1
LESA	18	The tweet suggests that Dr. Birx has realized that President Trump is a stable genius and that drinking Clorox or Lysol can prevent COVID-19. This is not true and should not be taken seriously.	1
LESA	19	A journalist tried to show Boris Johnson a picture of a sick child lying on the floor of a hospital. The Prime Minister took the journalist's phone and put it in his pocket.	1
LESA	20	There is an outbreak of a dangerous strain of E. Coli because Trump got rid of rules to test farm water. This saves farmers money but costs us more in medical bills.	1
LESA	21	Using hand sanitizer and washing hands can stop the spread of coronavirus.	1
