topic	tweet_id	tweet_text	class_label
LESA	0	If you have ever been to White Caps, you are immune to the coronavirus.	1
LESA	1	"No, bleach will not cure COVID-19. Disinfectants cannot kill the coronavirus in your body. In fact, they will hurt you.

If you or someone you know has been exposed to bleach, call Poison Control for help (1-800-222-1222)."	1
LESA	2	PRESS RELEASE: Botswana condemns remarks made by President Trump.	1
LESA	3	"I thought they said chloroquine is the cure.
This coronavirus doesn't really kill.
It's a virus, but the rate at which it spreads is the problem."	1
LESA	4	Injecting disinfectant into the body can cure Covid-19.	1
LESA	5	Corona beer is not the cure for the coronavirus.	1
LESA	6	For anyone denying hydroxychloroquine and its effectiveness to cure Covid-19, let's stop the charade, shall we?	1
LESA	7	I know the World Health Organization will come and tell us that the medicine Madagascar is using to cure the coronavirus is not good.	1
LESA	8	Yes, that is Cape Town. But the tornado is not local. It is from Texas and was inserted with some CGI. Cape Town Storm.	1
LESA	9	It was the US government, with the assistance of the CIA, that orchestrated the epidemic in China. It is not difficult to understand that the US is a threat to the whole world. Remember the biological weapon the US used in the Vietnam War?	1
LESA	10	Conspiracy theorists claiming that the coronavirus is fake is a major issue in our society.	1
LESA	11	When you are 13 years old, and you just schooled ESPN! Brett	1
LESA	12	My students have noted that COVID-19 is showing us how any honorary white status placed on Asians in the US was always provisional.	1
LESA	13	Booty bumping bleach does not cure COVID-19. Not any better than huffing Lysol, anyway.	1
LESA	14	Coronavirus is fake, just a diversion to get people scared to not go out and vote.	1
LESA	15	Time to get back to work! People who recovered from coronavirus are immune now.	1
LESA	16	Dear, you knew about COVID-19 in January. It is March and your administration still does not have enough test kits. That is unconscionable and a dereliction of duty. Stop minimizing the corona outbreak and start leading. Lives are at stake. [link]	1
LESA	17	You can treat pneumonia with these four acupressure points.	1
LESA	18	Dr. Birx realizing that Donald Trump is a stable genius and if you drink Clorox or Lysol you most likely won't die of COVID-19.	1
LESA	19	Tried to show Boris Johnson the picture of Jack Williment-Barr. The 4-year-old with suspected pneumonia forced to lie on a pile of coats on the floor of a Leeds hospital. The PM grabbed my phone and put it in his pocket.	1
LESA	20	We have an outbreak of Escherichia Coli O157:H7 which causes symptoms such as vomiting blood, bloody diarrhea, and hematuria as a result of kidney failure. This outbreak occurred due to the reversal of Obama-era regulations by Trump regarding the testing of farm water. Farmers saved $12 million, but we ended up paying $108 million in medical expenses.	1
LESA	21	Hand sanitizer and washing hands are effective in preventing the spread of coronavirus.	1
LESA	22	"Oh! It's just pneumonia or pneumonia-like symptoms. I'm sure it's nothing to worry about if it's just ""pneumonia-like symptoms."" It couldn't be Coronavirus. Carry on, go about your business. Ignore this. It's just pneumonia-like symptoms."	1
LESA	23	"Um...aren't you the person who said the cure might involve drinking bleach? Or taking a medication that was not recommended? I think the best way to ""stay safe"" would be to stop listening to your uninformed and dangerous nonsense!"	1
LESA	24	"Who hasn't, at least once, thought:

COVID-19 Cure is:

Lysol
Ajax
Ginger
Bananas

Trump is a danger to America. Trump must go in November!

Unfit. ETTD."	1
LESA	25	@MichaelKors, @womenforwomenUK, can you confirm if it is true that your bags are made of dog hides from China? Please clarify, as I would need to get rid of mine if this is the case.	1
LESA	26	Are young conservatives trolling Trump or are they just stupid? Trump spoke at Turning Point in front of a fake presidential seal featuring the Russian Coat of Arms and golf clubs created to illustrate his love for Putin and the fact he has spent 30% of his term playing golf.	1
LESA	27	Hydrochloroquine is the cure for Covid19, and the Democrat controlled FakeNews media doesn't want anyone to know it.	1
LESA	28	"I think you can see the timeline, Kim. The question is, what does it all mean?

Hints: What part did China and the World Bank play in Event 201? What were the links between Wuhan's biosecurity/bioweapons research and the West?

Blame China? Blame the US? Nations are pawns sometimes.

Cui bono?"	1
LESA	29	Maybe COVID-19 might be the cure, not the disease for stupidity.	1
LESA	30	"Please follow the guidelines to revise the content:

Keep in mind, this is the same country that suppresses and dilutes the cures to AIDS and cancer, then makes you pay for a half-ass supplement drug. This coronavirus situation isn't going away! CNN. United States. United States. Government cover-up. Good Friday 2020. Happy Easter. Coronavirus. Pharmaceuticals."	1
LESA	31	Yes, this is really Darrell Issa on the roof of his district office building. Too afraid to come speak with assembled constituents below.	1
LESA	32	So Trump has devised a cure for Covid19: injections of disinfectant, which obliterate the disease. Unfortunately, it would also prove quite fatal. Simply astounding.	1
LESA	33	You can die of the run of the mill influenza virus, even with a completely healthy and functional immune system, but sure this new Coronavirus is somehow less deadly than that.	1
LESA	34	There is a global pandemic and this person is on another ego trip (maybe the cocaine has kicked in?).	1
LESA	35	@CDCgov Are you sure it's not diphtheria? It can cause similar symptoms. Watching a movie about Balto and Togo. Sounds so much similar! People can carry diphtheria just like Corona without knowing it. Hoping for a cure.	1
LESA	36	I think, based on theory and movies, that a cure for COVID-19 can be found from a baby in the womb of a previously infected woman who got through it. The then-born child should be immune to the virus, which can then be used to create the cure for everyone else.	1
LESA	37	Seek a cure for your Trump Derangement Syndrome. It's worse than COVID-19.	1
LESA	38	"Mask
Make only with handkerchief and hair elastic!
It can't stop the virus. It prevents your cough from splashing around."	1
LESA	39	"Wait, young people are immune to coronavirus? No.

Know why for Covid-19 in 60 seconds by BBC News Igbo."	1
LESA	40	For those who thought injecting disinfectants was the cure for COVID-19, here's a do-it-yourself for ultraviolet light therapy. Glowsticks in the bathtub!	1
LESA	41	This is crazy! Cape Town is experiencing a severe storm.	1
LESA	42	Justin Trudeau approved the transfer of a lethal virus to a Chinese bio weapons lab in Wuhan. Geezus!	1
LESA	43	As announced by the Department of Health (DOH), there is a COVID-19 patient currently confined in Medical City Pasig. There is also a COVID-19 patient who is a resident of Pasig but is currently confined in a private hospital outside of Pasig. The local government unit (LGU) is closely coordinating with the DOH.	1
LESA	44	I believe communist China released the virus at this event to infect the military of the 109 nations in attendance. BioWarfare.	1
