topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	India has gifted 100,000 COVID-19 vaccines to Barbados, which arrived earlier today. Barbados is thankful to Prime Minister Modi for the generous gesture.	0
COVID-19	1370008076489789440	President Kagame and First Lady Jeannette Kagame received the COVID-19 vaccine at King Faisal Hospital, as part of the national vaccination program.	0
COVID-19	1367726730044207104	Rwanda has received 50,000 doses of COVID-19 vaccines from India and expressed gratitude to the Indian government and other partners for their support in the fight against the pandemic.	0
COVID-19	1369888483414712322	Four ex-US presidents feature in national ads promoting COVID-19 vaccines, following their own inoculations.	0
COVID-19	1368585187500691461	Russia's intelligence services used fake news and social media to spread misinformation about the Pfizer and Moderna vaccines to undermine public confidence.	1
COVID-19	1368249497734713346	Joel Embiid will donate $100K from the NBA All-Star Game earnings to three shelters in Philly for the provision of necessities and support.	0
COVID-19	1365324501475594243	Canada should produce its own vaccines to avoid relying too much on other countries, according to @Mossmanlab. @MacGlobalNexus Fitzhenry Vector Lab should manufacture enough COVID-19 vaccine doses for all Canadians.	0
COVID-19	1350907284575043584	23 deaths in Norway after COVID-19 vaccination highlights the need for honest discussions about vaccine safety and efficacy.	1
COVID-19	1370453239309680640	From April 5, all Michigan residents over the age of 16 will be eligible to receive a COVID-19 vaccine. It is encouraged for all eligible individuals to get vaccinated.	0
COVID-19	1367517694279393282	AstraZeneca's vaccine shipment to Australia was blocked by the EU and Italy due to the company's failure to deliver promised doses to Europe.	0
COVID-19	1367555102291148801	Ohio State University Wexner Medical Center administered Johnson & Johnson's single-dose COVID-19 vaccine to increase vaccine production and rapidly vaccinate more people.	0
COVID-19	1365385808316944386	North Carolina tops the list in vaccinating adults aged over 65 years among all the states in the US. Credit goes to the state's vaccine providers and the North Carolina Department of Health and Human Services.	0
COVID-19	1367295604703993856	The Johnson & Johnson, Moderna, and Pfizer/BioNTech COVID-19 vaccines significantly lower the risk of getting infected and of serious outcomes like hospitalization and death.	0
COVID-19	1366074035348467712	Simulations show that using a lower efficacy vaccine to vaccinate people sooner can prevent more Covid-19 cases, hospitalizations, and deaths compared to waiting for a higher efficacy vaccine.	0
COVID-19	1364402806992568320	The Navajo Nation has vaccinated over 100,000 residents, achieving their February goal and vaccinating over half of their population.	0
COVID-19	1369998582435229696	CVS has expanded its Covid-19 vaccine offering to 29 US states and Puerto Rico through the federal retail pharmacy programme.	0
COVID-19	1369512362873589760	Alaska is now allowing anyone 16 or older who lives or works in the state to get a Covid-19 vaccine without any eligibility requirements.	0
COVID-19	1370191018243465219	President Biden announced wider COVID-19 vaccine availability, targeting May 1 for all adults. Cinco de Mayo birthday hopes for one shot vaccine and one shot tequila!	0
COVID-19	1365011945108176901	Moody's forecasts India's growth to increase from 10.8% to 13.7% in FY2022, due to the normalization of activity and growing market confidence with Covid-19 vaccination rollout.	0
COVID-19	1369788331232493573	Sumterville now has a new drive-thru vaccination site to vaccinate 3,000 senior Floridians with Johnson & Johnson vaccines over 3 days.	0
COVID-19	1369591200093732864	EU secured 4 million more doses of COVID-19 vaccines from BioNTech-Pfizer in the next two weeks to combat the virus and facilitate border movement.	0
COVID-19	1356605799766745090	Elvis' vaccination at the Ed Sullivan Show in 1956 encouraged vaccination for polio. Former US presidents also plan to promote COVID-19 vaccines.	0
COVID-19	1369988744728616965	India has sent 481 lakh Covid vaccine doses to other countries as of March 4, with 73.5 lakh provided as grants and 288.4 lakh sold commercially.	0
COVID-19	1370046383458246659	Whoopi Goldberg received her first dose of the COVID-19 vaccine and recommends others to do the same.	0
COVID-19	1371118941460963331	Although vaccines greatly reduce the risk of severe Covid and death, they are not foolproof. It is still necessary to wear masks.	0
COVID-19	1368703552546308099	Russian intelligence is trying to reduce trust in Western-made vaccines, including Pfizer's vaccine.	1
COVID-19	1368561780142792705	Many Europeans refuse AstraZeneca vaccine due to perceived safety concerns, with up to 27% in Germany and 22% in France.	0
COVID-19	1366780368318312449	Radiologists warn that Covid-19 vaccine side effects may show up as abnormal swelling on routine scans, causing undue concern about cancer.	1
COVID-19	1367820629886504961	Uganda has received 864,000 doses of the AstraZeneca COVID-19 vaccine from the Serum Institute of India via the COVAX facility.	0
COVID-19	1369404118759055364	CVS Health will administer COVID-19 vaccines at 76 more Florida locations, bringing the total to 157 in 30 counties.	0
COVID-19	1369032423695081476	All individuals in phase 3 priority groups can now book COVID-19 vaccine appointments via the portal at midnight.	0
COVID-19	1367717174236839937	The global vaccination rate is 6.5 million doses per day, meaning it will take almost 5 years to vaccinate 75% of the population with a two-dose vaccine. Developing countries need faster access to vaccines.	0
COVID-19	1369629278053269507	Alaska allows anyone aged 16 or above to get vaccinated, making it the first state to lift eligibility restrictions.	0
COVID-19	1368236350948970499	New Yorkers wait for vaccines at Yankee Stadium in the middle of the night and are satisfied with the process.	0
COVID-19	1363964279997743108	COVID-19 vaccines can cause mild side effects like tiredness, soreness, and mild illness. These effects should not last more than a week.	0
COVID-19	1363354245576220672	Australia's COVID-19 vaccination program begins with first vaccinations in Sydney. More details can be found on the vaccination rollout.	0
COVID-19	1370050585924354053	President Bush and his wife received COVID-19 vaccination and encourage others to do so when it's their turn for the safety and recovery from the pandemic.	0
COVID-19	1368885882707578885	Indonesia received 1.1 million AstraZeneca COVID-19 vaccines from the Covax Facility and plans to obtain 13.7 million doses.	0
COVID-19	1368474007578742786	Ethiopian Airlines delivered the first shipment of COVID-19 vaccines to Ethiopia, aiming to continue the service to save lives.	0
COVID-19	1369517118970982400	UNICEF and partners have delivered 15 million COVID-19 vaccine doses to countries through COVAX in the past 2 weeks. Efforts aim to make vaccines available to everyone, with support from WHO, GAVI, and CEPI Vaccines.	0
COVID-19	1367168699464040451	San Diego Zoo staff received experimental COVID-19 vaccines to give to great apes in their care after eight gorillas fell ill in January.	0
COVID-19	1366958948641832963	Kenya has received COVID-19 vaccines, a positive development achieved thanks to the contributions of several organizations including the Kenyan Ministry of Health, Gavi, WHO Kenya, UNICEF, and the Coalition for Epidemic Preparedness Innovations. The UK-Kenya Health Partnership and scientific collaboration between KEMRI Kenya and the Oxford Vaccine Group also played a role.	0
COVID-19	1367813077949964288	This week, Angola, Côte d'Ivoire, Ghana, Kenya, Nigeria, and Rwanda began administering COVID-19 vaccines through #COVAX to high-risk groups.	0
COVID-19	1368825655627046912	The Nigerian SGF and COVID-19 task force members will get vaccinated with the Oxford-AstraZeneca vaccine today, according to a statement from the SGF Office.	0
COVID-19	1370098291627585537	Wisconsin will expand COVID-19 vaccine eligibility to everyone aged 16 and above in May, according to DHS deputy secretary.	0
COVID-19	1367611051618033665	Teachers and staff under 50 years old can get vaccinated at Kroger, Walmart, and Meijer. Those 50+ can get vaccinated anywhere in the state. Find an eligible location at https://t.co/cfAuXPLaoM.	0
COVID-19	1366473416115683339	Data reveals Pfizer and AstraZeneca vaccines are effective in reducing COVID-19 cases in individuals over 70 years old.	0
COVID-19	1357833978363998213	The mRNA technology used for the COVID-19 vaccine may be a solution for vaccines against HIV, sickle cell disease, and malaria.	0
COVID-19	1368144894305263617	Fiji gets 12,000 AstraZeneca vaccine doses through #COVAX, aiming to secure more vaccines for people's safety and the world's recovery.	0
COVID-19	1370071438980448260	Charging for Covid-19 vaccines is counterproductive from a public health perspective. All countries, except India, offer the vaccine for free.	0
COVID-19	1370181780284698624	Biden plans to purchase 100 million more vaccine doses and aims to provide enough doses for all adult Americans by May's end.	0
COVID-19	1366435057343352833	Oxford/AstraZeneca vaccinations have started in Côte d'Ivoire to protect vulnerable people from COVID-19. The UK has pledged £548m to COVAX for low-income countries.	0
COVID-19	1367271180160405507	24 hours after my second COVID-19 vaccine dose, I'm feeling great. The vaccines are safe and effective. Getting vaccinated is crucial to ending the pandemic.	0
