topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	Yes	1
COVID-19	1350165688061669378	Yes	0
COVID-19	1369749539154919425	Yes	0
COVID-19	1350164995686936578	Yes	0
COVID-19	1370008076489789440	Yes	1
COVID-19	1367726730044207104	Yes	1
COVID-19	1365684673205084166	no	0
COVID-19	1369888483414712322	Yes	1
COVID-19	1370003879455297540	Yes	0
COVID-19	1354166371526041603	Yes	0
COVID-19	1357381185505288200	No	0
COVID-19	1367232803071422464	Yes	0
COVID-19	1368585187500691461	Yes	1
COVID-19	1368249497734713346	Yes	1
COVID-19	1367921612780081155	Yes	0
COVID-19	1355801491190280192	Yes	0
COVID-19	1366637116097060867	No	0
COVID-19	1365324501475594243	Yes	1
COVID-19	1366814345443872769	Yes	0
COVID-19	1369771518239072260	Yes	0
COVID-19	1350907284575043584	Yes	1
COVID-19	1369770494703116296	Yes	0
COVID-19	1370453239309680640	Yes	1
COVID-19	1367517694279393282	Yes	1
COVID-19	1367555102291148801	Yes	1
COVID-19	1365752431489912833	No	0
COVID-19	1365385808316944386	Yes	1
COVID-19	1367295604703993856	Yes	1
COVID-19	1367586954502492161	Yes	0
COVID-19	1366074035348467712	Yes	1
COVID-19	1364402806992568320	Yes	1
COVID-19	1360255266672021504	Yes	0
COVID-19	1364973838233194497	Yes	0
COVID-19	1369998582435229696	Yes	1
COVID-19	1367201792002576385	Yes	0
COVID-19	1370174548411305990	Yes	0
COVID-19	1363024347066208256	Yes	0
COVID-19	1365057186334994443	Yes	0
COVID-19	1369375694451531781	Yes	0
COVID-19	1369512362873589760	Yes	1
COVID-19	1370003882236084231	Yes	0
COVID-19	1364671748977946631	Yes	0
COVID-19	1367808327720329218	Yes	0
COVID-19	1370191018243465219	Yes	1
COVID-19	1365011945108176901	Yes	1
COVID-19	1369788331232493573	Yes	1
COVID-19	1369591200093732864	Yes	1
COVID-19	1367254708713369600	No	0
COVID-19	1356605799766745090	Yes	1
COVID-19	1369988744728616965	Yes	1
COVID-19	1362466832146440197	Yes	0
COVID-19	1367493551291064321	Yes	0
COVID-19	1370046383458246659	Yes	1
COVID-19	1371118941460963331	Yes	1
COVID-19	1370223893714243584	Yes	0
COVID-19	1368703552546308099	Yes	1
COVID-19	1368561780142792705	Yes	1
COVID-19	1366780368318312449	Yes	1
COVID-19	1363510191464054785	No	0
COVID-19	1368710661677723649	Yes	0
COVID-19	1367820629886504961	Yes	1
COVID-19	1369404118759055364	Yes	1
COVID-19	1369032423695081476	Yes	1
COVID-19	1367717174236839937	Yes	1
COVID-19	1368852057520758789	No	0
COVID-19	1367542118093361156	No	0
COVID-19	1353116572924203008	Yes	0
COVID-19	1367511995746897921	no	0
COVID-19	1369629278053269507	Yes	1
COVID-19	1368236350948970499	Yes	1
COVID-19	1369002969795067908	Yes	0
COVID-19	1354947562617380873	Yes	0
COVID-19	1370067857233481729	Yes	0
COVID-19	1369397833032478720	Yes	0
COVID-19	1361859919708901383	Yes	0
COVID-19	1363964279997743108	Yes	1
COVID-19	1363354245576220672	Yes	1
COVID-19	1370050585924354053	Yes	1
COVID-19	1369942417722445832	Yes	0
COVID-19	1368885882707578885	Yes	1
COVID-19	1368474007578742786	Yes	1
COVID-19	1369517118970982400	Yes	1
COVID-19	1367168699464040451	Yes	1
COVID-19	1366958948641832963	Yes	1
COVID-19	1367170117226881030	Yes	0
COVID-19	1367813077949964288	Yes	1
COVID-19	1355178617790230529	Yes	0
COVID-19	1367571443014389764	Yes	0
COVID-19	1367450233702121477	Yes	0
COVID-19	1368825655627046912	Yes	1
COVID-19	1370098291627585537	Yes	1
COVID-19	1367611051618033665	Yes	1
COVID-19	1370624542285074433	Yes	0
COVID-19	1366473416115683339	Yes	1
COVID-19	1359935048900702209	no	0
COVID-19	1369573711620284416	Yes	0
COVID-19	1357833978363998213	Yes	1
COVID-19	1368144894305263617	Yes	1
COVID-19	1370071438980448260	Yes	1
COVID-19	1370181780284698624	Yes	1
COVID-19	1368072135546114049	Yes	0
COVID-19	1369992062364491777	no	0
COVID-19	1371031264061456387	No	0
COVID-19	1366435057343352833	Yes	1
COVID-19	1370081794666557444	Yes	0
COVID-19	1367271180160405507	Yes	1
COVID-19	1363386810060050433	Yes	1
COVID-19	1370692800497467393	Yes	1
COVID-19	1370443379113402378	No	0
COVID-19	1368941922018942977	Yes	1
COVID-19	1369988661815689218	Yes	0
COVID-19	1369247283091566599	Yes	1
COVID-19	1352347770758320129	no	0
COVID-19	1370842636089765897	Yes	1
COVID-19	1369425741423722506	Yes	0
COVID-19	1365226137681600512	Yes	0
COVID-19	1369037738880741379	Yes	1
COVID-19	1367574018451210240	Yes	1
COVID-19	1365683864602087435	Yes	1
COVID-19	1365618698388660227	Yes	1
COVID-19	1371061216131567618	Yes	1
COVID-19	1370833557938184195	Yes	0
COVID-19	1368565129583935489	Yes	1
COVID-19	1370142489764528128	Yes	1
COVID-19	1369577517435269122	Yes	1
COVID-19	1367999546903650304	Yes	1
COVID-19	1366169316115296256	Yes	1
COVID-19	1365039860700958720	no	0
COVID-19	1370496908574199809	Yes	1
COVID-19	1370275496982941696	Yes	1
COVID-19	1369505827774734336	Yes	1
COVID-19	1367133935474515971	Yes	1
COVID-19	1369746723531264004	Yes	1
COVID-19	1367295358154403840	Yes	1
COVID-19	1364978735116599299	Yes	1
COVID-19	1368902758770806788	Yes	1
COVID-19	1364332661859373060	Yes	0
COVID-19	1370587787142004737	Yes	0
COVID-19	1367838067537702921	Yes	1
COVID-19	1347155635016769536	Yes	1
COVID-19	1359822259364462592	Yes	1
COVID-19	1368642107704020996	Yes	0
COVID-19	1365833615452614656	No	0
COVID-19	1370755808477253634	Yes	1
COVID-19	1370528224124547076	No	0
COVID-19	1369647151794556929	No	0
COVID-19	1366391337239650304	Yes	0
COVID-19	1361773597963005959	Yes	0
COVID-19	1369662353302753282	Yes	1
COVID-19	1368939079400886279	Yes	0
COVID-19	1368167688128901127	Yes	1
COVID-19	1357083474625257478	Yes	0
COVID-19	1370208988604854272	Yes	1
COVID-19	1370200438880997376	Yes	1
COVID-19	1369875983860297730	Yes	0
COVID-19	1369357340881870851	Yes	1
COVID-19	1369303784950804480	Yes	0
COVID-19	1367612647563288578	Yes	1
COVID-19	1367584469348147200	No	0
COVID-19	1367487087092649994	Yes	0
COVID-19	1348932735289606153	Yes	0
COVID-19	1368362448915402753	Yes	1
COVID-19	1364949979308113922	Yes	1
COVID-19	1361076515912503298	Yes	1
COVID-19	1370322440086298625	Yes	0
COVID-19	1368202666879422465	Yes	0
COVID-19	1366968641103667202	Yes	1
COVID-19	1370387358722490370	Yes	1
COVID-19	1370138417678458885	Yes	1
COVID-19	1368234967742955522	No	0
COVID-19	1367916689023721473	Yes	1
COVID-19	1352724468007727104	Yes	1
COVID-19	1370457500672200704	Yes	1
COVID-19	1370157384824328194	Yes	1
COVID-19	1370082788825829376	Yes	1
COVID-19	1369591376187449350	Yes	1
COVID-19	1367841881707675650	Yes	0
COVID-19	1366802853826682885	Yes	0
COVID-19	1366511084325199875	Yes	0
COVID-19	1369988981270585349	Yes	1
COVID-19	1369014312136761348	Yes	0
COVID-19	1368614925233364992	Yes	1
COVID-19	1368397582872043520	Yes	1
COVID-19	1367822261558910978	Yes	0
COVID-19	1368874576151777280	Yes	1
COVID-19	1368602815862542343	Yes	1
COVID-19	1367863320909389830	Yes	0
COVID-19	1370706952037265412	Yes	1
COVID-19	1354820969802604554	Yes	1
COVID-19	1370403753959030791	no	0
COVID-19	1369572557658095621	Yes	1
COVID-19	1368432601891934210	Yes	1
COVID-19	1367907321649668096	No	0
COVID-19	1367454131636604943	Yes	0
COVID-19	1370448903737384961	Yes	1
COVID-19	1370376795506286592	Yes	0
COVID-19	1369584844854984704	No	0
COVID-19	1369386668864790535	Yes	1
COVID-19	1369124315363475456	Yes	1
COVID-19	1368841561933549568	Yes	1
COVID-19	1369537957510676482	Yes	1
COVID-19	1369268443149705223	Yes	0
COVID-19	1369032401184296963	Yes	1
COVID-19	1368583803371991045	Yes	1
COVID-19	1368227404246904835	Yes	1
COVID-19	1370736907060092929	Yes	1
COVID-19	1370422466363977737	no	0
COVID-19	1370414677252050945	Yes	1
COVID-19	1370348460982034436	Yes	1
COVID-19	1368909462183022595	Yes	1
COVID-19	1364234337508540417	Yes	1
COVID-19	1370955351680561154	Yes	1
COVID-19	1370471611925684225	Yes	1
COVID-19	1370368951272800258	Yes	1
COVID-19	1369766736849997827	Yes	1
COVID-19	1368427447788728322	Yes	1
COVID-19	1367813392845602816	Yes	1
COVID-19	1367371211081199622	Yes	1
COVID-19	1369936390641844225	Yes	1
COVID-19	1369372154387652611	Yes	0
COVID-19	1368557112624885763	Yes	0
COVID-19	1368259676362706944	Yes	1
COVID-19	1368245137147650049	No	0
COVID-19	1369826841964515329	No	0
COVID-19	1367204448095907847	Yes	1
COVID-19	1371098293292445697	No	0
COVID-19	1369261312824475649	Yes	0
COVID-19	1367969699317702657	Yes	1
COVID-19	1367881542240903168	No	0
COVID-19	1367406111956033538	Yes	1
COVID-19	1370462605819531265	Yes	0
COVID-19	1369819551504949249	Yes	1
COVID-19	1369591561663750144	Yes	0
COVID-19	1369452263043895299	Yes	1
COVID-19	1369279328438091783	No	0
COVID-19	1368206109983600643	Yes	1
COVID-19	1366800933565435907	Yes	1
COVID-19	1370350443554078727	Yes	1
COVID-19	1368919091067711494	Yes	0
COVID-19	1368480673581858819	Yes	1
COVID-19	1368231290646986755	Yes	1
COVID-19	1370401892585644036	Yes	1
COVID-19	1369997317923889152	Yes	1
COVID-19	1369523567709188097	Yes	0
COVID-19	1369060869028642816	Yes	0
COVID-19	1370706269993107463	No	0
COVID-19	1370523241564012544	Yes	1
COVID-19	1370431478321053703	Yes	1
COVID-19	1370401418960601092	Yes	0
COVID-19	1369913482158690308	Yes	0
COVID-19	1368629520354320391	Yes	1
COVID-19	1368586349465452548	Yes	1
COVID-19	1368214841635332100	No	0
COVID-19	1363613692286414848	Yes	0
COVID-19	1370351330074767363	Yes	1
COVID-19	1369982894337372165	Yes	1
COVID-19	1369879515376324608	Yes	0
COVID-19	1369521062938107904	Yes	1
COVID-19	1369126932802007040	Yes	0
COVID-19	1367474919005687811	No	0
COVID-19	1370263970750283776	Yes	0
COVID-19	1369690619443097603	No	0
COVID-19	1369631387939078146	No	0
COVID-19	1368621132635635716	Yes	0
